date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:47:46	23356/23356	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Jun%202017%2019:45:14%20GMT	https://landing.engotheme.com/html/lotus/demo/room-2.html	C:/Users/ADMIN/Desktop/Giaodien/test/landing.engotheme.com/html/lotus/demo/room-2.html	(from https://landing.engotheme.com/html/lotus/demo/index.html)
16:47:46	25818/25818	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Jun%202017%2019:45:08%20GMT	https://landing.engotheme.com/html/lotus/demo/room-3.html	C:/Users/ADMIN/Desktop/Giaodien/test/landing.engotheme.com/html/lotus/demo/room-3.html	(from https://landing.engotheme.com/html/lotus/demo/index.html)
16:47:47	24728/24728	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Jun%202017%2019:45:30%20GMT	https://landing.engotheme.com/html/lotus/demo/room-4.html	C:/Users/ADMIN/Desktop/Giaodien/test/landing.engotheme.com/html/lotus/demo/room-4.html	(from https://landing.engotheme.com/html/lotus/demo/index.html)
16:47:47	31082/31082	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Jun%202017%2019:45:38%20GMT	https://landing.engotheme.com/html/lotus/demo/room-5.html	C:/Users/ADMIN/Desktop/Giaodien/test/landing.engotheme.com/html/lotus/demo/room-5.html	(from https://landing.engotheme.com/html/lotus/demo/index.html)
16:47:47	24002/24002	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Jun%202017%2019:45:50%20GMT	https://landing.engotheme.com/html/lotus/demo/room-6.html	C:/Users/ADMIN/Desktop/Giaodien/test/landing.engotheme.com/html/lotus/demo/room-6.html	(from https://landing.engotheme.com/html/lotus/demo/index.html)
16:47:48	62806/62806	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Jun%202017%2019:46:00%20GMT	https://landing.engotheme.com/html/lotus/demo/room-detail.html	C:/Users/ADMIN/Desktop/Giaodien/test/landing.engotheme.com/html/lotus/demo/room-detail.html	(from https://landing.engotheme.com/html/lotus/demo/index.html)
16:47:48	49522/49522	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Jun%202017%2019:46:20%20GMT	https://landing.engotheme.com/html/lotus/demo/restaurants-1.html	C:/Users/ADMIN/Desktop/Giaodien/test/landing.engotheme.com/html/lotus/demo/restaurants-1.html	(from https://landing.engotheme.com/html/lotus/demo/index.html)
16:47:48	43819/43819	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Jun%202017%2019:46:28%20GMT	https://landing.engotheme.com/html/lotus/demo/restaurants-2.html	C:/Users/ADMIN/Desktop/Giaodien/test/landing.engotheme.com/html/lotus/demo/restaurants-2.html	(from https://landing.engotheme.com/html/lotus/demo/index.html)
16:47:49	68307/68307	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Jun%202017%2019:46:38%20GMT	https://landing.engotheme.com/html/lotus/demo/restaurants-3.html	C:/Users/ADMIN/Desktop/Giaodien/test/landing.engotheme.com/html/lotus/demo/restaurants-3.html	(from https://landing.engotheme.com/html/lotus/demo/index.html)
16:47:49	78602/78602	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Jun%202017%2019:46:44%20GMT	https://landing.engotheme.com/html/lotus/demo/restaurants-4.html	C:/Users/ADMIN/Desktop/Giaodien/test/landing.engotheme.com/html/lotus/demo/restaurants-4.html	(from https://landing.engotheme.com/html/lotus/demo/index.html)
